2025/10/05 14:44:54 [error] 33#33: *11 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /css/style_login.css HTTP/1.1", host: "localhost", referrer: "http://localhost/?"
2025/10/05 14:44:54 [error] 33#33: *11 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /assets/image/logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/?"
2025/10/05 14:44:56 [error] 28#28: *35 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /css/style_login.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:44:56 [error] 28#28: *37 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /assets/image/logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:45:04 [error] 28#28: *37 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /css/style_login.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:45:04 [error] 28#28: *35 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /assets/image/logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:45:12 [error] 28#28: *35 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /css/style_login.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:45:12 [error] 28#28: *37 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /assets/image/logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 21:48:30 [error] 28#28: *40 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /css/style_login.css HTTP/1.1", host: "localhost", referrer: "http://localhost/?"
2025/10/05 21:48:30 [error] 28#28: *40 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /assets/image/logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/?"
2025/10/05 23:00:47 [error] 28#28: *115 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1", host: "localhost"
2025/10/05 23:00:57 [error] 28#28: *115 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1", host: "localhost"
